spring-petclinic;2.4.5;org.springframework.samples
spring-boot-starter-actuator;2.4.5;org.springframework.boot
spring-boot-starter;2.4.5;org.springframework.boot
spring-boot-starter-logging;2.4.5;org.springframework.boot
logback-classic;1.2.3;ch.qos.logback
logback-core;1.2.3;ch.qos.logback
log4j-to-slf4j;2.13.3;org.apache.logging.log4j
log4j-api;2.13.3;org.apache.logging.log4j
jul-to-slf4j;1.7.30;org.slf4j
jakarta.annotation-api;1.3.5;jakarta.annotation
snakeyaml;1.27;org.yaml
spring-boot-actuator-autoconfigure;2.4.5;org.springframework.boot
spring-boot-actuator;2.4.5;org.springframework.boot
jackson-databind;2.11.4;com.fasterxml.jackson.core
jackson-annotations;2.11.4;com.fasterxml.jackson.core
jackson-datatype-jsr310;2.11.4;com.fasterxml.jackson.datatype
micrometer-core;1.6.6;io.micrometer
HdrHistogram;2.1.12;org.hdrhistogram
LatencyUtils;2.0.3;org.latencyutils
spring-boot-starter-cache;2.4.5;org.springframework.boot
spring-context-support;5.3.6;org.springframework
spring-beans;5.3.6;org.springframework
spring-context;5.3.6;org.springframework
spring-boot-starter-data-jpa;2.4.5;org.springframework.boot
spring-boot-starter-aop;2.4.5;org.springframework.boot
spring-aop;5.3.6;org.springframework
aspectjweaver;1.9.6;org.aspectj
spring-boot-starter-jdbc;2.4.5;org.springframework.boot
HikariCP;3.4.5;com.zaxxer
spring-jdbc;5.3.6;org.springframework
jakarta.transaction-api;1.3.3;jakarta.transaction
jakarta.persistence-api;2.2.3;jakarta.persistence
hibernate-core;5.4.30.Final;org.hibernate
jboss-logging;3.4.1.Final;org.jboss.logging
javassist;3.27.0-GA;org.javassist
byte-buddy;1.10.22;net.bytebuddy
antlr;2.7.7;antlr
jandex;2.2.3.Final;org.jboss
classmate;1.5.1;com.fasterxml
dom4j;2.1.3;org.dom4j
hibernate-commons-annotations;5.1.2.Final;org.hibernate.common
spring-data-jpa;2.4.8;org.springframework.data
spring-data-commons;2.4.8;org.springframework.data
spring-orm;5.3.6;org.springframework
spring-tx;5.3.6;org.springframework
spring-aspects;5.3.6;org.springframework
spring-boot-starter-web;2.4.5;org.springframework.boot
spring-boot-starter-json;2.4.5;org.springframework.boot
jackson-datatype-jdk8;2.11.4;com.fasterxml.jackson.datatype
jackson-module-parameter-names;2.11.4;com.fasterxml.jackson.module
spring-boot-starter-tomcat;2.4.5;org.springframework.boot
tomcat-embed-core;9.0.45;org.apache.tomcat.embed
tomcat-embed-websocket;9.0.45;org.apache.tomcat.embed
spring-web;5.3.6;org.springframework
spring-webmvc;5.3.6;org.springframework
spring-expression;5.3.6;org.springframework
spring-boot-starter-validation;2.4.5;org.springframework.boot
jakarta.el;3.0.3;org.glassfish
hibernate-validator;6.1.7.Final;org.hibernate.validator
jakarta.validation-api;2.0.2;jakarta.validation
spring-boot-starter-thymeleaf;2.4.5;org.springframework.boot
thymeleaf-spring5;3.0.12.RELEASE;org.thymeleaf
thymeleaf;3.0.12.RELEASE;org.thymeleaf
attoparser;2.0.5.RELEASE;org.attoparser
unbescape;1.1.6.RELEASE;org.unbescape
thymeleaf-extras-java8time;3.0.4.RELEASE;org.thymeleaf.extras
spring-boot-starter-test;2.4.5;org.springframework.boot
spring-boot-test;2.4.5;org.springframework.boot
spring-boot-test-autoconfigure;2.4.5;org.springframework.boot
json-path;2.4.0;com.jayway.jsonpath
json-smart;2.3;net.minidev
accessors-smart;1.2;net.minidev
asm;5.0.4;org.ow2.asm
jakarta.xml.bind-api;2.3.3;jakarta.xml.bind
jakarta.activation-api;1.2.2;jakarta.activation
assertj-core;3.18.1;org.assertj
hamcrest;2.2;org.hamcrest
junit-jupiter;5.7.1;org.junit.jupiter
junit-jupiter-api;5.7.1;org.junit.jupiter
apiguardian-api;1.1.0;org.apiguardian
opentest4j;1.2.0;org.opentest4j
junit-platform-commons;1.7.1;org.junit.platform
junit-jupiter-params;5.7.1;org.junit.jupiter
junit-jupiter-engine;5.7.1;org.junit.jupiter
junit-platform-engine;1.7.1;org.junit.platform
mockito-core;3.6.28;org.mockito
byte-buddy-agent;1.10.22;net.bytebuddy
objenesis;3.1;org.objenesis
mockito-junit-jupiter;3.6.28;org.mockito
jsonassert;1.5.0;org.skyscreamer
android-json;0.0.20131108.vaadin1;com.vaadin.external.google
spring-core;5.3.6;org.springframework
spring-jcl;5.3.6;org.springframework
spring-test;5.3.6;org.springframework
xmlunit-core;2.7.0;org.xmlunit
h2;1.4.200;com.h2database
mysql-connector-java;8.0.23;mysql
cache-api;1.1.1;javax.cache
ehcache;3.9.2;org.ehcache
slf4j-api;1.7.30;org.slf4j
jaxb-runtime;2.3.4;org.glassfish.jaxb
txw2;2.3.4;org.glassfish.jaxb
istack-commons-runtime;3.0.12;com.sun.istack
jakarta.activation;1.2.2;com.sun.activation
webjars-locator-core;0.46;org.webjars
classgraph;4.8.69;io.github.classgraph
jackson-core;2.11.4;com.fasterxml.jackson.core
jquery;2.2.4;org.webjars
jquery-ui;1.11.4;org.webjars
bootstrap;3.3.6;org.webjars
spring-boot-devtools;2.4.5;org.springframework.boot
spring-boot;2.4.5;org.springframework.boot
spring-boot-autoconfigure;2.4.5;org.springframework.boot
